Function,Total Number,N,Execution Time
MainSimple,1000,10,2.7472428
Main2,1000,10,0.0140264
Main,1000,10,0.0022408
EC,1000,10,0.0009934
EC2,1000,10,0.000984
MainSimple,1500,10,9.201823
Main2,1500,10,0.0268348
Main,1500,10,0.004918
EC,1500,10,0.0017358
EC2,1500,10,0.001688
MainSimple,2000,10,21.8310394
Main2,2000,10,0.0387054
Main,2000,10,0.009263
EC,2000,10,0.0026996
EC2,2000,10,0.002637
MainSimple,2500,10,42.4308812
Main2,2500,10,0.051343
Main,2500,10,0.0148588
EC,2500,10,0.0103334
EC2,2500,10,0.0038518
MainSimple,3000,10,72.950617
Main2,3000,10,0.0713108
Main,3000,10,0.0208792
EC,3000,10,0.0053854
EC2,3000,10,0.0052622
MainSimple,3500,10,116.4694906
Main2,3500,10,0.0771856
Main,3500,10,0.0282056
EC,3500,10,0.0070888
EC2,3500,10,0.0069268
MainSimple,4000,10,173.6235192
Main2,4000,10,0.1044186
Main,4000,10,0.0357072
EC,4000,10,0.0089868
EC2,4000,10,0.0087456
MainSimple,4500,10,247.081958
Main2,4500,10,0.1176776
Main,4500,10,0.046776
EC,4500,10,0.0112038
EC2,4500,10,0.010918
MainSimple,5000,10,339.104575
Main2,5000,10,0.135084
Main,5000,10,0.053022
EC,5000,10,0.013677
EC2,5000,10,0.01331
MainSimple,5500,10,450.258656
Main2,5500,10,0.160254
Main,5500,10,0.068832
EC,5500,10,0.016223
EC2,5500,10,0.015784
MainSimple,6000,10,582.85304
Main2,6000,10,0.2266
Main,6000,10,0.079547
EC,6000,10,0.019192
EC2,6000,10,0.018655
MainSimple,6500,10,742.030968
Main2,6500,10,0.208651
Main,6500,10,0.092514
EC,6500,10,0.022408
EC2,6500,10,0.021812
MainSimple,7000,10,925.884478
Main2,7000,10,0.231247
Main,7000,10,0.113702
EC,7000,10,0.025799
EC2,7000,10,0.024981
MainSimple,7500,10,1138.79135
Main2,7500,10,0.247067
Main,7500,10,0.119936
EC,7500,10,0.029358
EC2,7500,10,0.028416
MainSimple,8000,10,1381.237621
Main2,8000,10,0.286692
Main,8000,10,0.143219
EC,8000,10,0.033304
EC2,8000,10,0.032225
MainSimple,8500,10,1656.575612
Main2,8500,10,0.313556
Main,8500,10,0.158552
EC,8500,10,0.037521
EC2,8500,10,0.03632
MainSimple,9000,10,1967.990942
Main2,9000,10,0.344863
Main,9000,10,0.182487
EC,9000,10,0.041856
EC2,9000,10,0.0405